"","idade","genero","estado","cor","eb","es","ies","anocurso","curso","mediag","turno","formato","opcaouni","opçãocurso","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","ce1","ce2","ce3","ce4","ce5","ce6","ce7","ce8","ce9","ce10","ce11","ce12","ce13","ce14","ce15","ce16","ce17","ce18","re1","re2","re3","re4","re5","re6","re7","re8","re9","re10","re11","re12","re13","re14","re15","re16","re17","re18","re19","re20","re21","re22","re23","re24","rv1","rv2","rv3","rv4","rv5","rv6","rv7","rv8","rv9","rv10","rv11","rv12","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","ib1","ib2","ib3","ib4","ib5","ib6","ib7","ib8","ib9","ib10","ib11","ib12","ib13","ib14","ib15","ib16","ib17","ib18","qaes_projcar","qaes_adptsoc","qaes_apesemo","qaes_adptest","qaes_adptins","qaes_totalsc","tce","rv","tre_efi","tre_ine","extrover","neurotic","conscien","abertura","amabilid","nse"
"11",23,"Feminino",1,"Preto",2,"Estácio",2,5,"Psicologia",8.52,3,2,2,1,3,5,4,5,5,3,5,3,5,3,4,5,4,5,5,5,5,4,5,4,2,5,4,5,5,3,5,3,4,5,4,5,5,3,5,3,5,4,5,5,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,3,1,4,5,4,4,3,3,3,4,1,5,5,4,1,3,4,2,5,2,3,5,2,5,1,1,0,1,0,0,1,0,0,1,1,0,5,4,4,5,4,4,1,4,3,2,3,5,3,4,4,2,4,5,4,5,4,5,5,5,4,5,5,3,4,2,4,4,4,2,4,1,4,1,3,2,2,1,3,2,1,2,2,2,1,2,1,3,1,2,2,2,2,2,4,3,5,2,4.625,5,4.625,3.875,3.375,3.65,10,6,5,3,4,1.66666666666667,3.16666666666667,3.22222222222222,4.33333333333333,4
"12",30,"Feminino",1,"Preto",2,"ESUDA",2,2,"Psicologia",8.75,3,1,2,2,3,5,5,3,4,4,5,4,5,4,4,5,5,3,4,5,3,2,4,4,3,5,4,2,4,4,5,2,3,3,5,5,5,3,1,4,4,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,5,5,1,3,4,1,1,3,1,5,3,5,1,1,5,1,5,2,2,4,3,5,1,1,1,1,0,1,0,1,1,1,1,1,5,3,2,5,3,4,4,5,4,2,4,5,4,2,5,5,2,5,4,4,2,4,1,3,5,3,4,2,3,1,4,2,5,5,4,3,3,1,4,4,5,4,1,4,1,2,2,2,1,2,1,3,1,2,2,2,2,4,4,3,2,1,3.375,4.625,3.5,3.875,4,3.675,17,10,7,8,2.625,3.83333333333333,3.66666666666667,4.33333333333333,5,4
"13",34,"Feminino",1,"Branco",1,"ESUDA",2,4,"Psicologia",8.5,3,1,2,2,5,5,5,2,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,5,1,5,5,5,4,1,5,5,5,5,1,5,5,5,4,1,5,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,5,5,1,1,5,1,1,1,1,5,2,5,1,1,5,1,2,4,1,3,1,5,1,1,1,1,1,0,1,0,0,1,0,0,5,2,2,4,4,5,1,5,4,1,3,4,3,3,5,3,1,5,2,4,3,2,3,3,5,5,5,2,5,3,5,4,3,2,3,3,5,1,3,3,3,1,3,3,1,2,2,1,1,2,1,3,1,2,2,2,2,2,3,9,7,1,5,5,1.125,4.75,5,4.925,15,7,8,10,4.25,2.5,4.5,3.33333333333333,5,3
"14",26,"Masculino",1,"Preto",1,"Centro Universitario Estacio do Recife",2,5,"Psicologia",9.11,3,2,2,2,3,4,4,2,5,4,4,5,2,5,4,5,5,1,5,5,5,5,2,4,2,5,5,2,5,4,4,3,2,5,2,4,5,1,5,4,5,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,5,1,4,1,3,2,3,1,5,4,4,1,1,5,3,3,4,1,5,1,5,1,1,1,1,1,1,0,1,1,1,0,0,5,3,5,5,5,4,2,4,4,3,5,3,5,5,5,3,3,5,3,5,4,3,5,4,5,5,5,2,4,1,5,5,3,1,5,1,5,1,4,4,5,3,4,3,1,2,2,1,2,2,2,3,1,1,2,2,2,2,4,3,5,3,4.875,4.5,1.75,4.5,3.5,4.325,18,9,6,5,4.125,1.5,3.83333333333333,4,4.66666666666667,2
"15",21,"Feminino",1,"Indígena",2,"UFRPE",1,5,"Ciências biológicas",8,3,1,1,1,4,5,4,5,4,5,5,2,5,4,5,5,5,5,4,4,2,1,5,3,2,1,1,5,3,3,4,2,5,3,5,4,4,5,5,3,4,4,5,4,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,5,5,2,2,3,1,4,3,1,5,5,5,1,1,5,3,5,3,3,5,5,5,1,1,1,1,1,1,0,1,1,1,0,0,1,4,4,5,1,5,3,5,3,5,2,5,3,1,5,5,5,5,5,5,2,5,1,4,5,1,5,5,1,1,5,1,5,5,5,5,1,2,5,5,5,5,3,1,1,2,2,1,1,2,2,3,1,1,2,2,1,3,4,2,2,1,3.75,3.75,5,2.875,3.875,3.05,14,9,8,6,1,4.83333333333333,2.83333333333333,3.55555555555556,5,1
"16",43,"Feminino",1,"Branco",1,"Estácio",2,5,"Psicologia",8,3,2,1,1,5,5,5,1,3,4,5,5,1,5,5,5,5,3,5,5,4,4,5,5,4,4,4,1,4,5,4,4,1,5,5,4,5,1,4,5,4,4,4,5,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,4,4,5,5,2,5,4,2,2,2,5,5,2,5,1,4,5,1,3,3,2,4,5,5,1,1,1,1,0,0,0,1,0,0,1,0,5,3,2,3,5,5,1,5,5,1,5,4,5,4,5,4,2,5,2,5,4,3,4,4,4,5,4,1,4,1,4,4,4,4,4,2,5,2,5,4,4,4,4,4,1,2,2,1,2,2,2,3,1,2,2,2,2,4,4,3,2,3,4.5,4.375,2.125,4.5,4.75,4.4,12,6,6,2,3.75,2.16666666666667,3.83333333333333,4.22222222222222,5,3
"17",20,"Feminino",1,"Branco",2,"Estácio",2,3,"Psicologia",8.54,1,1,2,1,4,5,4,3,5,2,5,3,3,4,4,5,5,3,5,5,3,2,2,5,2,3,3,2,5,1,3,3,3,4,3,4,4,3,4,3,3,3,5,5,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,5,4,1,5,4,1,1,5,1,5,5,5,3,3,5,1,5,3,1,5,3,5,1,1,1,1,1,0,0,0,1,1,0,1,4,3,4,4,2,4,3,5,5,2,5,3,4,4,5,5,3,5,4,3,4,5,3,3,3,3,4,3,5,2,4,3,5,5,3,4,5,2,5,4,5,3,2,2,1,2,2,2,1,2,1,3,1,1,2,1,2,3,4,2,1,1,4.625,3.875,3,3.375,3,3.575,14,8,7,7,3.25,3,3,4,5,2
"18",22,"Feminino",1,"Branco",1,"Uninassau - Bolsa 100%",2,3,"Administração",8.1,3,1,2,2,4,4,4,4,4,2,1,4,3,3,4,4,4,4,4,4,2,2,3,3,2,2,2,3,4,3,3,2,4,4,4,3,4,1,3,4,3,3,4,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,5,5,3,3,5,1,2,2,1,5,5,4,1,1,4,1,5,5,1,5,2,4,1,1,1,1,1,1,0,1,1,1,0,0,4,4,2,4,3,5,3,4,4,4,4,4,4,2,4,4,3,4,2,4,4,3,3,5,5,4,4,4,5,3,5,3,5,3,4,3,4,1,3,4,4,3,3,1,1,1,1,1,1,2,1,3,1,1,2,1,1,2,2,2,4,1,3.625,2.75,3.25,3.125,3.375,3.125,15,9,6,8,3.375,3.16666666666667,4,3.66666666666667,4,0
"19",30,"Feminino",1,"Pardo",2,"Esuda",2,1,"Psicologia",8.5,3,1,2,2,5,5,5,2,5,4,5,4,1,5,5,5,3,1,5,5,5,2,1,5,5,5,3,1,5,5,5,3,1,5,5,5,5,1,5,5,5,5,1,5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,5,1,4,5,1,1,5,1,5,5,5,1,1,3,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,3,4,2,4,2,3,1,5,3,3,4,4,4,5,4,5,1,5,5,5,1,3,5,5,3,2,5,3,3,3,5,4,3,3,4,4,4,3,3,1,4,5,5,3,1,2,2,2,2,2,2,3,1,1,2,2,1,3,4,2,1,1,5,5,1.125,3.75,4.875,4.7,16,9,8,7,2.25,2.83333333333333,3.16666666666667,3.11111111111111,4.66666666666667,2
"20",36,"Feminino",1,"Preto",1,"Estácio de Sá",2,3,"Psicologia",9.07,3,2,1,1,5,5,3,2,4,3,3,5,4,4,4,3,3,3,5,5,5,2,4,4,2,1,3,3,4,2,5,2,5,4,5,4,3,2,5,5,3,3,4,4,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,2,4,1,1,2,1,5,5,5,1,2,5,5,5,3,4,4,2,5,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,2,4,4,2,3,5,2,3,4,5,4,5,4,3,3,4,3,4,5,1,5,2,2,2,5,3,4,3,4,3,3,3,3,4,3,5,3,5,1,2,2,2,1,2,2,1,1,1,2,2,2,2,3,2,7,1,4.25,3.625,3.375,3,3.875,3.475,16,12,7,6,1.75,2.83333333333333,2.33333333333333,3.66666666666667,4.33333333333333,3
"21",49,"Feminino",1,"Branco",1,"Estácio",2,5,"Psicologia",8.6,3,2,1,1,4,5,4,2,5,3,5,4,3,4,5,5,4,1,5,5,5,3,4,3,3,5,3,1,4,3,5,3,2,5,4,5,5,1,5,4,5,4,2,5,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,4,1,4,4,1,3,5,3,1,2,1,5,5,3,1,1,3,2,4,2,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,4,3,5,3,5,5,5,4,5,4,1,4,5,4,4,1,3,1,3,2,3,4,3,5,1,2,1,5,3,5,5,4,5,5,2,5,5,5,3,5,4,1,2,2,2,2,2,2,3,2,1,2,2,1,2,3,3,2,10,4.5,5,2,3.75,3.875,4.225,14,12,4,5,2.625,4.83333333333333,3.83333333333333,4,4.33333333333333,2
"22",21,"Feminino",1,"Branco",1,"Estacio",2,3,"Psicologia",7.5,1,4,2,1,5,1,3,2,3,5,2,1,5,3,4,2,5,5,3,3,1,3,5,2,2,1,3,5,4,3,1,2,5,4,4,1,3,5,2,4,1,3,5,5,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,4,5,1,4,1,1,5,5,5,1,1,5,5,1,4,4,5,1,5,1,1,1,1,1,1,1,1,0,1,0,1,1,5,3,3,1,5,5,5,5,5,5,5,3,2,5,5,3,5,4,5,3,4,2,2,5,1,5,2,1,1,5,5,5,5,4,5,3,2,5,3,5,5,5,5,1,2,2,1,1,2,1,3,1,1,2,2,1,2,3,2,4,1,3.25,1.25,4.625,2.875,3.75,2.5,16,10,9,6,1.25,4.33333333333333,3.16666666666667,4.22222222222222,5,1
"23",40,"Feminino",1,"Preto",2,"Estácio",2,4,"Psicologia",8,3,4,2,2,4,5,4,2,4,3,5,3,3,5,5,5,4,3,5,3,5,1,2,4,2,5,4,3,5,3,5,3,3,5,3,5,4,4,5,4,5,5,4,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,3,1,5,5,3,5,5,3,2,3,4,5,4,5,1,2,5,3,1,3,3,3,4,5,1,1,1,1,1,1,0,1,1,1,1,0,5,1,3,3,1,5,2,5,5,1,5,3,5,4,5,3,4,5,3,4,3,3,3,3,5,5,5,3,4,1,5,3,5,3,4,3,4,3,4,4,4,3,3,3,1,2,1,1,1,2,1,3,2,1,2,2,1,3,4,2,2,1,4.75,5,3,3.5,3.375,3.925,14,10,7,2,3.5,2.5,3.16666666666667,4.33333333333333,5,1
"24",43,"Feminino",1,"Branco",2,"Esuda",2,2,"Psicologia",8.9,3,2,2,2,5,5,5,3,5,5,5,5,4,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,3,5,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,5,2,5,3,2,4,5,3,4,4,1,5,5,5,1,2,4,2,5,1,1,5,3,5,1,1,1,1,1,1,1,1,1,0,1,0,5,1,4,5,4,5,1,5,4,3,4,3,3,3,5,1,1,5,1,5,3,3,2,5,5,5,5,2,5,2,5,5,5,2,4,3,5,1,5,5,5,1,2,2,1,2,2,2,2,2,2,3,2,1,2,2,2,4,4,3,7,5,4.75,4.875,3.875,5,5,4.35,13,10,7,3,4.625,3,4.66666666666667,4,5,3
"25",32,"Feminino",1,"Branco",1,"Estácio",2,6,"Psicologia",9.08,3,4,2,1,4,4,3,3,2,2,3,3,4,3,4,3,3,4,3,3,2,3,4,2,3,2,2,3,3,3,2,3,2,3,3,3,4,4,3,3,2,4,4,3,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,1,5,5,1,5,3,3,3,3,1,5,5,4,1,3,3,3,3,4,1,5,1,5,1,1,1,0,1,1,0,0,1,0,1,0,3,3,4,4,3,5,2,5,4,3,4,3,4,2,5,3,2,4,4,5,2,4,2,3,5,3,4,5,4,4,4,4,4,5,4,1,3,2,4,3,5,3,3,3,1,2,1,1,1,2,1,3,1,1,2,2,2,2,2,2,5,1,2.75,2.625,3.5,3.125,3.125,2.825,14,7,6,4,3.125,3.5,3.5,3.88888888888889,4.66666666666667,2
"26",23,"Masculino",1,"Branco",2,"UFRPE",1,4,"Licenciatura plena em ciências biológicas",5.65,3,1,1,1,5,4,3,5,3,5,4,2,5,2,5,3,5,5,4,4,3,3,5,4,5,4,3,5,4,5,3,4,5,4,5,3,4,5,5,5,4,4,5,5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,2,2,1,1,5,5,4,1,2,4,3,4,2,1,4,4,4,1,1,1,1,1,1,1,1,0,1,0,0,4,4,4,5,4,5,3,5,2,2,4,3,3,4,5,4,3,4,1,4,4,1,5,3,5,3,5,2,4,2,4,5,4,3,5,1,4,2,5,4,5,3,4,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,3,2,7,1,3.875,3.5,5,3.5,4.875,3.35,17,9,4,6,3.375,1.83333333333333,4.5,3.44444444444444,4.66666666666667,1
"27",30,"Feminino",1,"Branco",1,"Universidade Estacio de Sá",2,5,"Psicologia",7.9,3,2,2,2,4,4,4,5,3,3,2,4,5,4,3,2,4,5,5,5,2,5,5,4,4,1,4,4,4,3,1,3,4,5,4,3,4,5,5,4,2,4,5,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,4,1,5,5,1,2,4,3,2,3,1,5,5,5,1,1,4,2,3,3,3,5,2,5,1,1,1,1,1,0,0,0,0,1,0,0,4,5,4,4,5,5,3,5,3,4,3,3,4,3,4,1,2,4,1,3,3,3,4,1,5,4,5,4,4,1,5,4,5,4,5,1,3,4,4,4,3,2,1,1,1,2,2,1,1,2,1,3,1,1,2,2,1,3,4,3,2,1,4.375,2.125,4.75,4,3.75,3.1,15,6,6,4,4,2.83333333333333,3.83333333333333,3.88888888888889,4.33333333333333,1
"28",18,"Feminino",1,"Branco",2,"Estácio de Sá",2,1,"Psicologia",9.86,1,2,2,1,4,5,5,1,5,3,4,4,1,5,5,5,1,1,5,5,5,3,2,5,3,4,4,1,5,4,2,5,1,5,4,4,5,2,5,4,5,5,1,5,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,4,1,4,5,1,1,5,1,5,5,4,1,1,3,3,5,1,1,5,1,5,1,1,1,0,1,1,1,1,1,1,1,0,5,2,4,5,5,5,1,5,5,1,5,4,5,4,5,5,1,5,1,5,3,2,3,3,5,3,5,1,5,1,5,4,4,3,5,3,5,1,5,3,4,4,3,3,1,2,2,1,1,2,1,3,1,1,2,2,2,3,4,3,1,1,5,4.25,1.25,4,4,4.4,16,10,7,8,3.5,2.5,4.83333333333333,4.44444444444444,5,2
"29",26,"Feminino",1,"Branco",1,"Ufrpe",1,5,"Bacharelado em ciências biológicas",6,1,1,1,1,5,5,3,2,4,5,5,3,5,3,4,5,3,4,3,5,3,3,5,3,5,5,3,5,3,3,5,3,5,3,4,5,5,3,3,5,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,4,3,1,1,5,3,3,4,1,5,5,5,1,1,3,1,3,3,3,5,5,3,1,1,1,1,0,1,1,1,0,1,0,1,5,5,5,5,5,5,5,5,1,5,1,1,3,1,5,1,3,3,2,3,2,3,3,3,5,5,5,5,2,3,4,3,5,5,4,5,3,1,3,1,5,1,3,1,1,2,2,1,1,2,1,3,2,1,2,1,1,3,4,3,7,9,3.25,4.75,4.25,3.375,4.5,3.525,17,9,4,5,4.375,4.5,4.16666666666667,2.88888888888889,4.33333333333333,0
